Frame,Timestamp,Event
5952,1744588348.8502526,End of Frame 5952
5953,1744588348.859492,Start Get Vehicle Position (on manual_control.py Side)
5953,1744588348.859506,End Get Vehicle Position (on manual_control.py Side)
5953,1744588348.8594935,Start Get Vehicle Position (on record.py Side)
5953,1744588348.8595052,End Get Vehicle Position (on record.py Side)
5953,1744588348.8502603,Start of Frame 5953
5953,1744588348.8668387,End of Frame 5953
5953,1744588348.8755918,Start Get Vehicle Position (on manual_control.py Side)
5953,1744588348.8756106,End Get Vehicle Position (on manual_control.py Side)
5953,1744588348.8755932,Start Get Vehicle Position (on record.py Side)
5953,1744588348.8756092,End Get Vehicle Position (on record.py Side)
5952,1744588348.8610888,Start of Saving Image: frame_5952.png
5952,1744588348.8776457,End of Saving Image: frame_5952.png
5953,1744588348.8668487,Start of Frame 5953
5953,1744588348.8864248,End of Frame 5953
5954,1744588348.89151,Start Get Vehicle Position (on manual_control.py Side)
5954,1744588348.8915281,End Get Vehicle Position (on manual_control.py Side)
5954,1744588348.8915112,Start Get Vehicle Position (on record.py Side)
5954,1744588348.8915272,End Get Vehicle Position (on record.py Side)
5953,1744588348.8788326,Start of Saving Image: frame_5953.png
5953,1744588348.8935485,End of Saving Image: frame_5953.png
5954,1744588348.8864353,Start of Frame 5954
5954,1744588348.9065318,End of Frame 5954
5955,1744588348.9075096,Start Get Vehicle Position (on manual_control.py Side)
5955,1744588348.9075298,End Get Vehicle Position (on manual_control.py Side)
5955,1744588348.9075112,Start Get Vehicle Position (on record.py Side)
5955,1744588348.9075286,End Get Vehicle Position (on record.py Side)
5954,1744588348.8988156,Start of Saving Image: frame_5954.png
5954,1744588348.9095092,End of Saving Image: frame_5954.png
5955,1744588348.9065428,Start of Frame 5955
5955,1744588348.9149547,End of Frame 5955
5956,1744588348.9240317,Start Get Vehicle Position (on manual_control.py Side)
5956,1744588348.9240873,End Get Vehicle Position (on manual_control.py Side)
5956,1744588348.9240332,Start Get Vehicle Position (on record.py Side)
5956,1744588348.924086,End Get Vehicle Position (on record.py Side)
5916,1744588348.6125007,Start of Saving Image: frame_5916.png
5916,1744588348.9271271,End of Saving Image: frame_5916.png
5956,1744588348.9149673,Start of Frame 5956
5956,1744588348.9325583,End of Frame 5956
5956,1744588348.9395783,Start Get Vehicle Position (on manual_control.py Side)
5956,1744588348.9396021,End Get Vehicle Position (on manual_control.py Side)
5956,1744588348.9395797,Start Get Vehicle Position (on record.py Side)
5956,1744588348.9396012,End Get Vehicle Position (on record.py Side)
5955,1744588348.9238224,Start of Saving Image: frame_5955.png
5955,1744588348.9416785,End of Saving Image: frame_5955.png
5956,1744588348.9420033,Start of Saving Image: frame_5956.png
5956,1744588348.9495032,End of Saving Image: frame_5956.png
5956,1744588348.9325695,Start of Frame 5956
5956,1744588348.9528186,End of Frame 5956
5957,1744588348.9554904,Start Get Vehicle Position (on manual_control.py Side)
5957,1744588348.9555042,End Get Vehicle Position (on manual_control.py Side)
5957,1744588348.9554913,Start Get Vehicle Position (on record.py Side)
5957,1744588348.955503,End Get Vehicle Position (on record.py Side)
5957,1744588348.9528258,Start of Frame 5957
5957,1744588348.9618413,End of Frame 5957
5958,1744588348.97082,Start Get Vehicle Position (on manual_control.py Side)
5958,1744588348.9708333,End Get Vehicle Position (on manual_control.py Side)
5958,1744588348.9708207,Start Get Vehicle Position (on record.py Side)
5958,1744588348.9708323,End Get Vehicle Position (on record.py Side)
5958,1744588348.9618554,Start of Frame 5958
5958,1744588348.9763622,End of Frame 5958
5959,1744588348.986583,Start Get Vehicle Position (on manual_control.py Side)
5959,1744588348.9866035,End Get Vehicle Position (on manual_control.py Side)
5959,1744588348.9865847,Start Get Vehicle Position (on record.py Side)
5959,1744588348.9866023,End Get Vehicle Position (on record.py Side)
5957,1744588348.9707239,Start of Saving Image: frame_5957.png
5957,1744588348.9886887,End of Saving Image: frame_5957.png
5959,1744588348.9763749,Start of Frame 5959
5959,1744588348.9938457,End of Frame 5959
5959,1744588349.0025716,Start Get Vehicle Position (on manual_control.py Side)
5959,1744588349.0025873,End Get Vehicle Position (on manual_control.py Side)
5959,1744588349.0025723,Start Get Vehicle Position (on record.py Side)
5959,1744588349.002586,End Get Vehicle Position (on record.py Side)
5958,1744588348.988936,Start of Saving Image: frame_5958.png
5958,1744588349.00379,End of Saving Image: frame_5958.png
5959,1744588349.0044084,Start of Saving Image: frame_5959.png
5959,1744588349.011997,End of Saving Image: frame_5959.png
5959,1744588348.9938552,Start of Frame 5959
5959,1744588349.0141532,End of Frame 5959
5960,1744588349.0184903,Start Get Vehicle Position (on manual_control.py Side)
5960,1744588349.0185049,End Get Vehicle Position (on manual_control.py Side)
5960,1744588349.018491,Start Get Vehicle Position (on record.py Side)
5960,1744588349.018504,End Get Vehicle Position (on record.py Side)
5960,1744588349.0141616,Start of Frame 5960
5960,1744588349.024079,End of Frame 5960
5961,1744588349.0349193,Start Get Vehicle Position (on manual_control.py Side)
5961,1744588349.0349307,End Get Vehicle Position (on manual_control.py Side)
5961,1744588349.03492,Start Get Vehicle Position (on record.py Side)
5961,1744588349.0349302,End Get Vehicle Position (on record.py Side)
5961,1744588349.0240862,Start of Frame 5961
5961,1744588349.0398853,End of Frame 5961
5962,1744588349.0505428,Start Get Vehicle Position (on manual_control.py Side)
5962,1744588349.0505564,End Get Vehicle Position (on manual_control.py Side)
5962,1744588349.0505438,Start Get Vehicle Position (on record.py Side)
5962,1744588349.0505555,End Get Vehicle Position (on record.py Side)
5960,1744588349.0348384,Start of Saving Image: frame_5960.png
5960,1744588349.051726,End of Saving Image: frame_5960.png
5962,1744588349.0398962,Start of Frame 5962
5962,1744588349.0552688,End of Frame 5962
5963,1744588349.066617,Start Get Vehicle Position (on manual_control.py Side)
5963,1744588349.0666358,End Get Vehicle Position (on manual_control.py Side)
5963,1744588349.0666182,Start Get Vehicle Position (on record.py Side)
5963,1744588349.0666344,End Get Vehicle Position (on record.py Side)
5961,1744588349.0519722,Start of Saving Image: frame_5961.png
5961,1744588349.067905,End of Saving Image: frame_5961.png
5963,1744588349.0552764,Start of Frame 5963
5963,1744588349.0741315,End of Frame 5963
5963,1744588349.0825734,Start Get Vehicle Position (on manual_control.py Side)
5963,1744588349.0825884,End Get Vehicle Position (on manual_control.py Side)
5963,1744588349.0825746,Start Get Vehicle Position (on record.py Side)
5963,1744588349.0825872,End Get Vehicle Position (on record.py Side)
5962,1744588349.068216,Start of Saving Image: frame_5962.png
5962,1744588349.0838735,End of Saving Image: frame_5962.png
5963,1744588349.0841029,Start of Saving Image: frame_5963.png
5963,1744588349.093663,End of Saving Image: frame_5963.png
5963,1744588349.0741377,Start of Frame 5963
5963,1744588349.0939589,End of Frame 5963
5964,1744588349.0984771,Start Get Vehicle Position (on manual_control.py Side)
5964,1744588349.09849,End Get Vehicle Position (on manual_control.py Side)
5964,1744588349.098478,Start Get Vehicle Position (on record.py Side)
5964,1744588349.098489,End Get Vehicle Position (on record.py Side)
5964,1744588349.0939636,Start of Frame 5964
5964,1744588349.1038187,End of Frame 5964
5965,1744588349.114674,Start Get Vehicle Position (on manual_control.py Side)
5965,1744588349.1146934,End Get Vehicle Position (on manual_control.py Side)
5965,1744588349.1146755,Start Get Vehicle Position (on record.py Side)
5965,1744588349.1146917,End Get Vehicle Position (on record.py Side)
5965,1744588349.103837,Start of Frame 5965
5965,1744588349.1209471,End of Frame 5965
5966,1744588349.1306186,Start Get Vehicle Position (on manual_control.py Side)
5966,1744588349.1306326,End Get Vehicle Position (on manual_control.py Side)
5966,1744588349.13062,Start Get Vehicle Position (on record.py Side)
5966,1744588349.1306317,End Get Vehicle Position (on record.py Side)
5964,1744588349.1030042,Start of Saving Image: frame_5964.png
5964,1744588349.131848,End of Saving Image: frame_5964.png
5966,1744588349.1209586,Start of Frame 5966
5966,1744588349.1354272,End of Frame 5966
5966,1744588349.1465716,Start Get Vehicle Position (on manual_control.py Side)
5966,1744588349.1465871,End Get Vehicle Position (on manual_control.py Side)
5966,1744588349.1465728,Start Get Vehicle Position (on record.py Side)
5966,1744588349.1465862,End Get Vehicle Position (on record.py Side)
5965,1744588349.1321046,Start of Saving Image: frame_5965.png
5965,1744588349.147787,End of Saving Image: frame_5965.png
5966,1744588349.148937,Start of Saving Image: frame_5966.png
5966,1744588349.158182,End of Saving Image: frame_5966.png
5966,1744588349.1354349,Start of Frame 5966
5966,1744588349.1589298,End of Frame 5966
5967,1744588349.1625087,Start Get Vehicle Position (on manual_control.py Side)
